Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
tigecycline	tetracycline	No resistance	0	
ampicillin+clavulanic acid	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
temocillin	beta-lactam	No resistance	0	
cefepime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
colistin	polymyxin	No resistance	0	
piperacillin+tazobactam	beta-lactam	No resistance	0	
gentamicin	aminoglycoside	No resistance	0	
chloramphenicol	amphenicol	No resistance	0	
cefoxitin	beta-lactam	No resistance	0	
ertapenem	beta-lactam	No resistance	0	
meropenem	beta-lactam	No resistance	0	
trimethoprim	folate pathway antagonist	Resistant	3	dfrA7 (dfrA7_AB161450)
ampicillin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016), blaCTX-M-15 (blaCTX-M-15_AY044436)
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul2 (sul2_HQ840942), sul1 (sul1_AY115475), sul1 (sul1_DQ914960), sul1 (sul1_U12338), sul1 (sul1_AY522923)
tobramycin	aminoglycoside	No resistance	0	
fosfomycin	fosfomycin	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
imipenem	beta-lactam	No resistance	0	
ceftazidime	beta-lactam	Resistant	3	blaCTX-M-15 (blaCTX-M-15_AY044436)
nalidixic acid	quinolone	No resistance	0	
tetracycline	tetracycline	Resistant	3	tet(A) (tet(A)_AJ517790)
amikacin	aminoglycoside	No resistance	0	
azithromycin	macrolide	No resistance	0	
